Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_19BT2,433703.492,6478845.013,1991.19,10146.0,2386.0
15-9_19BT2,433698.758,6478835.96,2017.25,10146.0,2387.0
15-9_19BT2,433695.538,6478825.514,2045.18,10145.0,2387.0
15-9_19BT2,433694.039,6478814.552,2071.98,10144.0,2387.0
15-9_19BT2,433693.991,6478802.502,2098.35,10143.0,2386.0
15-9_19BT2,433695.742,6478789.803,2123.23,10142.0,2386.0
15-9_19BT2,433698.988,6478776.52,2147.66,10141.0,2385.0
15-9_19BT2,433703.59,6478761.788,2173.38,10140.0,2385.0
15-9_19BT2,433709.263,6478747.081,2197.71,10139.0,2384.0
15-9_19BT2,433713.372,6478737.288,2213.47,10138.0,2384.0
15-9_19BT2,433720.485,6478722.551,2237.4,10137.0,2383.0
15-9_19BT2,433728.589,6478707.697,2262.17,10136.0,2382.0
15-9_19BT2,433735.696,6478695.586,2282.85,10135.0,2381.0
15-9_19BT2,433744.358,6478681.76,2306.82,10134.0,2380.0
15-9_19BT2,433753.706,6478666.455,2333.32,10133.0,2379.0
15-9_19BT2,433760.656,6478652.49,2357.75,10132.0,2378.0
15-9_19BT2,433765.881,6478638.3,2382.49,10131.0,2378.0
15-9_19BT2,433770.879,6478624.002,2407.22,10130.0,2377.0
15-9_19BT2,433775.926,6478609.721,2431.94,10129.0,2376.0
15-9_19BT2,433780.474,6478597.028,2454.17,10129.0,2376.0
15-9_19BT2,433786.296,6478581.386,2481.47,10127.0,2375.0
15-9_19BT2,433791.992,6478567.192,2506.1,10126.0,2374.0
15-9_19BT2,433797.975,6478553.666,2529.88,10126.0,2373.0
15-9_19BT2,433804.41,6478540.196,2554.73,10125.0,2373.0
15-9_19BT2,433807.153,6478534.873,2565.13,10124.0,2372.0
15-9_19BT2,433811.546,6478526.599,2581.66,10124.0,2372.0
15-9_19BT2,433818.48,6478514.225,2606.95,10123.0,2371.0
15-9_19BT2,433826.007,6478501.737,2632.01,10122.0,2370.0
15-9_19BT2,433834.013,6478488.652,2656.62,10121.0,2369.0
15-9_19BT2,433841.699,6478475.891,2679.13,10120.0,2369.0
15-9_19BT2,433850.457,6478461.087,2703.71,10119.0,2368.0
15-9_19BT2,433859.953,6478444.78,2729.55,10118.0,2367.0
15-9_19BT2,433867.493,6478432.134,2749.75,10117.0,2366.0
15-9_19BT2,433876.423,6478418.011,2773.44,10117.0,2365.0
15-9_19BT2,433884.751,6478404.929,2796.75,10116.0,2364.0
15-9_19BT2,433890.91,6478392.559,2818.76,10115.0,2363.0
15-9_19BT2,433896.801,6478376.816,2845.99,10114.0,2362.0
15-9_19BT2,433902.135,6478362.513,2871.81,10113.0,2362.0
15-9_19BT2,433907.063,6478349.94,2896.33,10112.0,2361.0
15-9_19BT2,433912.076,6478337.383,2921.98,10111.0,2360.0
15-9_19BT2,433916.8,6478325.399,2946.84,10110.0,2360.0
15-9_19BT2,433922.0,6478312.275,2974.44,10109.0,2359.0
15-9_19BT2,433926.895,6478300.107,3000.3,10108.0,2359.0
15-9_19BT2,433931.844,6478288.107,3026.23,10107.0,2358.0
15-9_19BT2,433936.625,6478276.712,3051.35,10107.0,2357.0
15-9_19BT2,433941.594,6478265.015,3077.42,10106.0,2357.0
15-9_19BT2,433946.463,6478253.824,3102.62,10105.0,2356.0
15-9_19BT2,433951.684,6478241.965,3129.67,10104.0,2355.0
15-9_19BT2,433956.467,6478231.025,3155.0,10104.0,2355.0
15-9_19BT2,433961.413,6478219.766,3181.26,10103.0,2354.0
15-9_19BT2,433966.62,6478208.274,3207.37,10102.0,2354.0
15-9_19BT2,433972.277,6478196.267,3233.15,10101.0,2353.0
15-9_19BT2,433980.295,6478179.656,3266.37,10100.0,2352.0
15-9_19BT2,433986.937,6478165.986,3292.23,10099.0,2351.0
15-9_19BT2,433993.152,6478153.53,3315.36,10098.0,2351.0
15-9_19BT2,434000.026,6478140.105,3340.13,10097.0,2350.0
15-9_19BT2,434005.749,6478128.952,3360.59,10097.0,2349.0
