Well,UTM E/W,UTM N/S,TVD,inline,xline
15-9_F11B,435569.786,6478457.616,2921.72,10152.0,2234.0
15-9_F11B,435604.973,6478437.935,2923.93,10152.0,2231.0
15-9_F11B,435640.35,6478418.879,2924.39,10151.0,2228.0
15-9_F11B,435675.949,6478400.24,2924.71,10150.0,2225.0
15-9_F11B,435711.794,6478381.862,2925.35,10149.0,2222.0
15-9_F11B,435747.545,6478363.314,2926.2,10148.0,2218.0
15-9_F11B,435784.859,6478345.924,2928.93,10148.0,2215.0
15-9_F11B,435822.505,6478331.821,2933.67,10147.0,2212.0
15-9_F11B,435860.198,6478320.289,2939.7,10147.0,2209.0
15-9_F11B,435898.76,6478311.176,2947.46,10147.0,2206.0
15-9_F11B,435937.095,6478304.232,2956.88,10148.0,2203.0
15-9_F11B,435975.503,6478298.588,2966.87,10148.0,2199.0
15-9_F11B,436014.025,6478294.01,2976.13,10148.0,2196.0
15-9_F11B,436053.5,6478290.826,2984.52,10149.0,2193.0
15-9_F11B,436093.082,6478289.162,2991.82,10149.0,2190.0
15-9_F11B,436132.666,6478289.079,2998.74,10150.0,2187.0
15-9_F11B,436172.432,6478290.879,3006.09,10151.0,2184.0
15-9_F11B,436212.208,6478295.319,3014.39,10152.0,2181.0
15-9_F11B,436250.762,6478302.099,3023.89,10153.0,2178.0
15-9_F11B,436288.826,6478310.05,3035.83,10155.0,2175.0
15-9_F11B,436325.11,6478318.486,3050.34,10156.0,2173.0
15-9_F11B,436359.991,6478327.374,3067.73,10158.0,2170.0
15-9_F11B,436393.375,6478336.766,3088.21,10159.0,2168.0
15-9_F11B,436425.063,6478346.792,3111.49,10160.0,2166.0
15-9_F11B,436454.64,6478357.267,3136.91,10162.0,2163.0
15-9_F11B,436481.984,6478368.016,3164.47,10163.0,2161.0
15-9_F11B,436506.88,6478378.804,3194.38,10164.0,2160.0
15-9_F11B,436529.515,6478389.388,3225.6,10166.0,2158.0
15-9_F11B,436544.085,6478396.401,3246.97,10166.0,2157.0
15-9_F11B,436551.039,6478399.766,3257.3,10167.0,2157.0
