Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Home,RECOVERY,,1,8734,349.36,8734,349.36,8,,0.64,0.23,NaN,NaN
Home,BALL OUT,,1,8753,350.12,8843,353.72,8,,0.65,0.21,0.74,-0.04
Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,18,,NaN,NaN,NaN,NaN
Away,PASS,,1,8868,354.72,8892,355.68,18,19,0.77,-0.01,0.72,0.1
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,19,,0.71,0.11,0.08,0.17
Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,3,,0.09,0.14,NaN,NaN
Home,BALL OUT,,1,9098,363.92,9127,365.08,3,,0.02,0.1,0.05,-0.04
Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,23,,NaN,NaN,NaN,NaN
Away,PASS,,1,9215,368.6,9255,370.2,23,18,0.06,0,0.22,0.06
Away,PASS,,1,9306,372.24,9337,373.48,18,19,0.18,0.11,0.24,0.3
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,19,,0.24,0.3,0.24,0.39
Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,6,,0.22,0.36,NaN,NaN
Home,PASS,,1,9390,375.6,9442,377.68,6,10,0.29,0.38,0.55,0.13
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,10,8,0.87,0.29,0.96,0.37
Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,8,,0.96,0.37,0.98,0.46
Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,25,,0.97,0.44,NaN,NaN
Away,BALL OUT,,1,9634,385.36,9663,386.52,25,,0.97,0.44,1.03,0.33
Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,6,,NaN,NaN,NaN,NaN
Home,PASS,,1,10387,415.48,10418,416.72,6,10,0.99,0.01,0.94,0.09
Home,PASS,,1,10453,418.12,10477,419.08,10,6,0.94,0.09,0.87,0.1
Home,PASS,,1,10493,419.72,10527,421.08,6,5,0.86,0.11,0.78,0.36
