RecordNumber,API_Number,permit,nlat83,wlon83,elev,op,well,farm,cmpl,TD,tdfm,result,current_op,
55340,16119008030000,   791E,37.316288,-82.768093,1360,WARFIELD NATURAL GAS CO         ,4867            ,"MARTIN, T A                     ",17-Apr-40,3395,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
55342,,,37.283023,-82.800602,1642,HOWE OIL & GAS CO               ,H12             ,HARVEY COLLINS LAND CO          ,29-May-31,3779,344CORN ,GAS,,0
55382,,,37.33,-82.881669,1025,WARFIELD NATURAL GAS CO         ,4845            ,"SLONE, FERRELL                  ",19-Aug-39,2859,341OHIO ,GAS,,0
56424,,,37.338924,-82.954356,1580,WARFIELD NATURAL GAS CO         ,4995            ,"MAGGARD, S D                    ",22-Mar-41,3092,341OHIO ,GAS,,0
56520,,,37.352884,-82.936086,1250,UNITED FUEL GAS CO              ,5764            ,"PRATT, JASPER                   ",07-Mar-48,2854,341OHIO ,GAS,,0
56626,16119012880000, N21035,37.413471,-82.82309,1400,KENTUCKY WEST VIRGINIA GAS CO   ,5159            ,"TERRY, ISAAC                    ",31-Oct-32,3153,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
57038,,,37.423907,-82.780459,1320,WARFIELD NATURAL GAS CO         ,4635            ,"PIGMAN, MARY E                  ",31-Aug-36,3139,341OHIO ,GAS,,0
57123,16119000580000,  61238,37.463606,-82.953917,1572,"ASHLAND EXPLORATION, INC        ",49              ,"EVANS, E J                      ",30-May-84,3181,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY    ,0
60313,,,37.400412,-82.746902,1110,WARFIELD NATURAL GAS CO         ,5197            ,ELKHORN COAL CORP               ,16-Jan-44,2974,341OHIO ,GAS,,0
60317,,,37.406692,-82.722742,1370,WARFIELD NATURAL GAS CO         ,4206            ,"ELLIOTT, R C                    ",21-Oct-30,3331,341OHIO ,GAS,,0
60445,,,37.395982,-82.650222,1060,WARFIELD NATURAL GAS CO         ,4349            ,"HALL, MARTHA B                  ",18-Feb-32,3282,341OHIO ,GAS,,0
60699,16119003860000,  34346,37.339513,-83.104747,1015,PLATEAU RESOURCE DEVELOPMENT CO ,PR1             ,"PARRIS, WM C & MARY ANN         ",09-May-79,2850,344CORN ,GAS,"ROBERTS, HARRY S &/OR MCKINLEY RAY",0
60740,,,37.480862,-82.729026,920,WARFIELD NATURAL GAS CO         ,3987            ,"SPENCER, POLLY                  ",27-Dec-29,2758,341OHIO ,GAS,,0
60745,16071007260000,  1006E,37.496842,-82.682127,1360,WARFIELD NATURAL GAS CO         ,5024            ,ELKHORN COAL CORP               ,24-Sep-41,3306,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
60776,,,37.459801,-82.730922,960,WARFIELD NATURAL GAS CO         ,5679            ,ELKHORN COAL CORP               ,03-Nov-45,2815,341OHIO ,GAS,,0
60779,,,37.459763,-82.71224,1435,WARFIELD NATURAL GAS CO         ,5393            ,ELKHORN COAL CORP               ,17-Jul-45,3332,341OHIO ,GAS,,0
60941,16071007520000,  3274E,37.437728,-82.702239,1260,WARFIELD NATURAL GAS CO         ,5250            ,ELKHORN COAL CORP               ,13-Jan-44,3220,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
61043,,,37.457278,-82.658399,1200,WARFIELD NATURAL GAS CO         ,5472            ,ELKHORN COAL CORP               ,17-May-45,3262,341OHIO ,GAS,,0
61046,,,37.479626,-82.628337,1140,WARFIELD NATURAL GAS CO         ,5470            ,ELKHORN COAL CORP               ,03-Mar-45,3223,341OHIO ,GAS,,0
61047,,,37.477391,-82.641135,960,WARFIELD NATURAL GAS CO         ,4718            ,"NEWSOME, F W                    ",02-May-37,3009,341OHIO ,GAS,,0
61048,16071005600000,  3803E,37.482266,-82.644709,870,WARFIELD NATURAL GAS CO         ,5691            ,ELKHORN COAL CORP               ,29-Oct-46,2932,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
61051,,,37.489925,-82.655687,895,WARFIELD NATURAL GAS CO         ,5071            ,ELKHORN COAL CORP               ,15-Apr-42,2923,341OHIO ,GAS,,0
61054,,,37.497254,-82.648449,925,WARFIELD NATURAL GAS CO         ,5072            ,ELKHORN COAL CORP               ,22-Feb-42,2920,341OHIO ,GAS,,0
61055,,,37.498627,-82.62644,700,WARFIELD NATURAL GAS CO         ,4566            ,"STURGILL, WILLIE B              ",05-Nov-35,2879,341OHIO ,GAS,,0
61056,,,37.495057,-82.630748,895,WARFIELD NATURAL GAS CO         ,5678            ,ELKHORN COAL CORP               ,14-May-46,3010,341OHIO ,GAS,,0
61063,16071006110000,  N7193,37.51244,-82.762929,1070,WARFIELD NATURAL GAS CO         ,4006            ,"SALISBURY, ELIZABETH            ",02-May-30,2826,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
61067,,,37.54385,-82.804969,975,WARFIELD NATURAL GAS CO         ,3877            ,"ALLEN, J H                      ",13-Aug-29,2452,341OHIO ,GAS,UNITED FUEL GAS CO              ,0
61917,,,37.501473,-82.623437,910,WARFIELD NATURAL GAS CO         ,4552            ,"HOWELL, LEE                     ",04-Jul-35,3067,341OHIO ,GAS,,0
62177,16071003660000,  36560,37.659075,-82.618874,867,KENTUCKY WEST VIRGINIA GAS CO   ,1726            ,"GOBLE, CHRIS                    ",04-Mar-80,2850,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
62581,,,37.457104,-82.605732,880,WARFIELD NATURAL GAS CO         ,4711            ,"OSBORNE, W T                    ",25-Feb-37,3089,341OHIO ,GAS,,0
62582,,,37.465669,-82.615682,1100,WARFIELD NATURAL GAS CO         ,5066            ,"KEATHLEY, GROVER C              ",22-Apr-42,3339,341OHIO ,GAS,,0
62583,,,37.464021,-82.605043,880,WARFIELD NATURAL GAS CO         ,5059            ,"BUSH, M T                       ",21-Dec-41,3038,341OHIO ,GAS,,0
62586,,,37.471885,-82.613738,1020,WARFIELD NATURAL GAS CO         ,5065            ,"BUSH, JOHN B                    ",10-Aug-42,3197,341OHIO ,GAS,,0
62587,,,37.472671,-82.623606,1059,WARFIELD NATURAL GAS CO         ,4596            ,"CLARK, R B                      ",03-Mar-36,3268,341OHIO ,GAS,,0
62590,16071009750000, N10662,37.554493,-82.749484,660,WARFIELD NATURAL GAS CO         ,3914            ,"ALLEN, TROY                     ",15-Aug-29,2415,341OHIO ,GAS,EQUITABLE PRODUCTION COMPANY,0
62592,16071015410000, N21123,37.57367,-82.748447,920,WARFIELD NATURAL GAS CO         ,4305            ,"COMBS, TOWNSEL                  ",11-Aug-31,2643,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
62641,16071007160000,   905E,37.45769,-82.595349,1275,UNITED FUEL GAS CO              ,4986            ,"ROBERTS, RHODA J                ",17-Mar-41,3092,341OHIO ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
62701,,,37.702815,-82.680568,725,WARFIELD NATURAL GAS CO         ,4650            ,"CLINE, A P                      ",22-Aug-36,2323,341OHIO ,GAS,,0
62742,,,37.675232,-82.728151,795,WARFIELD NATURAL GAS CO         ,4722            ,"MAYO, G W                       ",09-Apr-37,2405,341OHIO ,GAS,,0
62744,,,37.696664,-82.680102,660,WARFIELD NATURAL GAS CO         ,4725            ,"WARD, MALCOLM                   ",23-Apr-37,2500,341OHIO ,GAS,,0
62748,,,37.691463,-82.701606,840,WARFIELD NATURAL GAS CO         ,4720            ,"PORTER, BELLE                   ",04-May-37,2579,341OHIO ,GAS,COLUMBIA GAS TRANSMISSION CORP  ,0
62836,16071003420000,  25264,37.686629,-82.722714,743,COLUMBIA GAS TRANSMISSION CORP  ,9608            ,"HARRIS, JOE T ET AL             ",21-Jan-72,2591,344CORN ,GAS,"CHESAPEAKE APPALACHIA, LLC",0
62906,,,37.366804,-82.710817,1120,WARFIELD NATURAL GAS CO         ,3912            ,"MULLINS, D J                    ",02-Dec-29,3190,341OHIO ,GAS,,0
63392,,,37.554669,-82.691612,692,WARFIELD NATURAL GAS CO         ,4547            ,"BOYD, LINDSEY                   ",28-Mar-35,2592,341OHIO ,GAS,,0
