RecordNumber,quant,unit,pay_top,btm,pay,Remark
71815,119,MCFGPD,1826,2413,340BBSI ,
71819,253,MCFGPD,1794,2365,341OHIO ,
71820,103,MCFGPD,1927,2503,341OHIO ,
71823,103,MCFGPD,1855,2330,341OHIO ,
71907,146,MCFGPD,1747,2239,341OHIO ,
71927,169,MCFGPD,1855,2418,341OHIO ,
72075,215,MCFGPD,1573,2146,340BBSI ,
72132,94,MCFGPD,2004,2598,340BBSI ,
74355,261,MCFGPD,1878,2351,341OHIO ,
74625,84,MCFGPD,1971,2460,341OHIO ,
75042,169,MCFGPD,1820,2255,340BBSI ,
75181,404,MCFGPD,1198,1223,332MAXN ,
75183,267,MCFGPD,2135,2559,341OHIO ,
75187,223,MCFGPD,1965,2385,341OHIO ,
75188,103,MCFGPD,1968,2454,340BBSI ,
75264,249,MCFGPD,2240,2420,341OHIO ,
75265,73,MCFGPD,2054,2482,341OHIO ,
75857,60,MCFGPD,3031,3587,340BBSI ,
75879,119,MCFGPD,3200,3738,340BBSI ,
75885,337,MCFGPD,3050,3470,340BBSI ,
75908,415,MCFGPD,2190,2632,341OHIO ,
76119,179,MCFGPD,3338,3703,340BBSI ,
76122,84,MCFGPD,3614,3934,340BBSI ,
76127,60,MCFGPD,3215,3778,340BBSI ,
76461,94,MCFGPD,3198,3720,340BBSI ,
76470,0,MCFGPD,3080,3120,337WEIR ,
76474,0,MCFGPD,3090,3308,332BIGL ,
76498,103,MCFGPD,3219,3552,340BBSI ,
76508,0,MCFGPD,3127,3180,337WEIR ,
76587,73,MCFGPD,3080,3585,340BBSI ,
76607,60,MCFGPD,3049,3570,340BBSI ,
76633,103,MCFGPD,3325,3572,340BBSI ,
77034,539,MCFGPD,2977,3438,340BBSI ,
77062,103,MCFGPD,2906,3365,340BBSI ,
77093,119,MCFGPD,2650,3160,340BBSI ,
77099,119,MCFGPD,2905,3423,340BBSI ,
77130,169,MCFGPD,3235,3784,340BBSI ,
77476,146,MCFGPD,1380,1837,341OHIO ,
78732,60,MCFGPD,2604,2858,341OHIO ,
78733,179,MCFGPD,2645,3039,341OHIO ,
78746,158,MCFGPD,2741,2986,341OHIO ,
78747,84,MCFGPD,2687,2943,341OHIO ,
78819,158,MCFGPD,2636,2928,341OHIO ,
78820,119,MCFGPD,2472,2853,341OHIO ,
78828,152,MCFGPD,2238,2538,341OHIO ,
78904,253,MCFGPD,2824,3318,341OHIO ,
79003,0,MCFGPD,3070,3100,337WEIR ,
79265,211,MCFGPD,3355,3814,340BBSI ,
79268,84,MCFGPD,3055,3448,340BBSI ,
79456,146,MCFGPD,3190,3649,340BBSI ,
79489,127,MCFGPD,3430,3554,341OHIO ,
79499,103,MCFGPD,3124,3554,340BBSI ,
79722,348,MCFGPD,2039,2270,332BIGL ,
79800,169,MCFGPD,2540,2870,341OHIO ,
79802,348,MCFGPD,2703,2950,341OHIO ,
79804,94,MCFGPD,2565,2972,341OHIO ,
79871,133,MCFGPD,2501,2933,341OHIO ,
79877,0,MCFGPD,1904,2121,332BIGL ,
80097,260,MCFGPD,3256,3730,341OHIO ,
80159,1866,MCFGPD,2260,2454,332BIGL ,
81307,233,MCFGPD,2297,2308,355BGSX ,
81318,0,MCFGPD,2468,2490,344CORN ,
81334,84,MCFGPD,1950,2595,344CORN ,
81343,0,MCFGPD,2405,2415,344CORN ,
81378,0,MCFGPD,2483,2513,355BGSX ,
81379,310,MCFGPD,1213,1656,341OHIO ,
81380,0,MCFGPD,2428,2455,344CORN ,
81412,66,MCFGPD,1220,1850,341OHIO ,
81417,146,MCFGPD,1495,1980,341OHIO ,
81447,0,MCFGPD,1461,1912,341OHIO ,
81448,0,MCFGPD,1350,1380,339BREA ,
50969,0,MCFGPD,2710,2844,344CORN ,
50972,0,MCFGPD,2774,2780,344CORN ,
52246,0,MCFGPD,3495,3772,341OHIO ,
52990,179,MCFGPD,3395,3840,341OHIO ,
53159,21,MCFGPD,2663,3130,341OHIO ,
53164,315,MCFGPD,2989,3430,341OHIO ,
54346,60,MCFGPD,2878,3254,341OHIO ,
55342,0,MCFGPD,2565,2765,332BIGL ,
61063,0,MCFGPD,2744,2752,341OHIO ,
61917,0,MCFGPD,2715,2735,341OHIO ,
62581,0,MCFGPD,2750,2772,341OHIO ,
62583,0,MCFGPD,2272,2292,337BRDN ,
62586,0,MCFGPD,2916,2937,341OHIO ,
62587,0,MCFGPD,3146,3167,341OHIO ,
62641,0,MCFGPD,2986,3006,341OHIO ,
62742,0,MCFGPD,2109,2131,341OHIO ,
62906,0,MCFGPD,3160,3167,341OHIO ,
63816,0,MCFGPD,2369,2390,341OHIO ,
63819,0,MCFGPD,2135,2157,341OHIO ,
64032,0,MCFGPD,2970,3082,341OHIO ,
65086,0,MCFGPD,2250,2967,341OHIO ,
65167,0,MCFGPD,2343,3059,341OHIO ,
65186,0,MCFGPD,2325,3035,341OHIO ,
65313,0,MCFGPD,2565,2570,341OHIO ,
65315,0,MCFGPD,2782,2804,341OHIO ,
65571,0,MCFGPD,2709,2731,341OHIO ,
65593,0,MCFGPD,2968,3075,341OHIO ,
65673,0,MCFGPD,3149,3599,341OHIO ,
65834,0,MCFGPD,2250,2825,341OHIO ,
66261,0,MCFGPD,2785,2797,339BREA ,
66346,0,MCFGPD,3427,3851,341OHIO ,
66347,0,MCFGPD,3100,3250,341OHIO ,
66720,0,MCFGPD,2384,2475,339BREA ,
67140,0,MCFGPD,2241,2263,341OHIO ,
67207,0,MCFGPD,2598,3488,341OHIO ,
67211,0,MCFGPD,2310,3243,341OHIO ,
67650,0,MCFGPD,2354,2375,341OHIO ,
67651,0,MCFGPD,2372,2394,341OHIO ,
67686,0,MCFGPD,2541,2563,341OHIO ,
67874,268,MCFGPD,2225,2541,341OHIO ,
67876,0,MCFGPD,2407,2430,341OHIO ,
67877,0,MCFGPD,2406,2427,341OHIO ,
67882,0,MCFGPD,2071,2095,339BDFD ,
68129,0,MCFGPD,1969,2661,341OHIO ,
69114,0,MCFGPD,3103,3251,341OHIO ,
70031,0,MCFGPD,2852,2874,341OHIO ,
70124,0,MCFGPD,3053,3074,341OHIO ,
70633,66,MCFGPD,1317,1740,341OHIO ,
76470,0,MCFGPD,3120,3621,340BBSI ,
76474,0,MCFGPD,3586,4117,340BBSI ,
76508,0,MCFGPD,3180,3690,340BBSI ,
79003,0,MCFGPD,3100,3561,341OHIO ,
79722,60,MCFGPD,2550,3011,341OHIO ,
79877,0,MCFGPD,2400,2452,337BRDN ,
80159,146,MCFGPD,2773,3257,341OHIO ,
81318,0,MCFGPD,2490,2503,355BGSX ,
81343,0,MCFGPD,2415,2423,355BGSX ,
81378,0,MCFGPD,1570,1800,341OHIO ,
81380,0,MCFGPD,2455,2478,355BGSX ,
81447,0,MCFGPD,863,991,332BIGL ,
81448,0,MCFGPD,1380,1835,341OHIO ,
50969,0,MCFGPD,2783,2830,344CORN ,
50972,0,MCFGPD,2797,2802,344CORN ,
61917,0,MCFGPD,3027,3052,341OHIO ,
62581,0,MCFGPD,3045,3067,341OHIO ,
62583,0,MCFGPD,2993,3015,341OHIO ,
62586,0,MCFGPD,3153,3174,341OHIO ,
62587,0,MCFGPD,3225,3245,341OHIO ,
62641,0,MCFGPD,3050,3071,341OHIO ,
62742,0,MCFGPD,2341,2363,341OHIO ,
63816,0,MCFGPD,2623,2646,341OHIO ,
63819,0,MCFGPD,2390,2642,341OHIO ,
65315,0,MCFGPD,3070,3100,341OHIO ,
65571,0,MCFGPD,3147,3168,341OHIO ,
66261,0,MCFGPD,3375,3784,341OHIO ,
66347,0,MCFGPD,3526,3574,341OHIO ,
67140,0,MCFGPD,2453,2496,341OHIO ,
67650,0,MCFGPD,2631,2653,341OHIO ,
67651,0,MCFGPD,2724,2766,341OHIO ,
67686,0,MCFGPD,2827,2849,341OHIO ,
67874,0,MCFGPD,2798,2820,341OHIO ,
67876,0,MCFGPD,2539,2561,341OHIO ,
67877,0,MCFGPD,2675,2690,341OHIO ,
67882,0,MCFGPD,2764,2784,341OHIO ,
70031,0,MCFGPD,3151,3193,341OHIO ,
70124,0,MCFGPD,3173,3196,341OHIO ,
79877,0,MCFGPD,2452,2901,340BBSI ,
81448,15,MCFGPD,783,901,332BIGL ,
65714,230,MCFGPD,2000,2035,337INJN ,
16218,,MCFGPD,3225,3379,332BIGL ,
16218,,MCFGPD,4086,4161,339BREA ,
